序号,名称,高德ID,等级,类型标签,详细地址,经度,纬度,电话号码,省份,城市,区县,官方网站,营业时间,图片链接(分号分隔),介绍
13,纳木措国家风景区,B0FFFS3L3J,4A,风景名胜;风景名胜;风景名胜,当扎路,91.129505,30.544918,[],西藏自治区,拉萨市,当雄县,[],,http://store.is.autonavi.com/showpic/75d2306cb0ade904bad4ce0afb1d34c4;http://store.is.autonavi.com/showpic/7ade357c3c8219b54216774122548b23;http://store.is.autonavi.com/showpic/dabdaa4a1daa63aa21933e8a1158055c,西藏“三大圣湖”之一，海拔最高的咸水湖，景色绝美。
14,藏域星球天文体验馆,B0FFLLA035,4A,科教文化服务;天文馆;天文馆,拉萨经济技术开发区林琼岗路,91.014148,29.620567,0891-6678523,西藏自治区,拉萨市,堆龙德庆区,[],,http://store.is.autonavi.com/showpic/4349fd3758e7a94508ac5992b43e2e6f;http://store.is.autonavi.com/showpic/3f1418beb6e35ba50cc77bb597089824;http://store.is.autonavi.com/showpic/a1860fd488d41046af3ea19a8c950a21,以天文为主题的科普体验馆，探索宇宙奥秘。
15,秀色才纳·雪域花谷,B0FFKZFJSV,4A,风景名胜;风景名胜相关;旅游景点,尼达路122号,90.949076,29.438393,17308986256;19108985008,西藏自治区,拉萨市,曲水县,[],,https://aos-comment.amap.com/B0KR4SUJGT/comment/content_media_external_file_1000038380_ss__1758883041903_99003935.jpg;http://store.is.autonavi.com/showpic/21aad5ed6dcdbb762d1dfcb6694be6f6;https://aos-comment.amap.com/B0KR4SUJGT/comment/content_media_external_file_10979_ss__1757586078655_00536867.jpg,高原上的现代农业观光园，四季花开，景色宜人。
16,西藏野生动物保护园,B0FFI12BRY,4A,风景名胜;公园广场;动物园,曲水镇阔姆组沿边路2号,90.780022,29.370921,16689018808,西藏自治区,拉萨市,曲水县,[],,https://aos-comment.amap.com/B0FFI12BRY/comment/0C786725_5783_49F4_B1FC_9A04AB2C0773_L0_001_2000_112_1763516946294_87415804.jpg;https://aos-comment.amap.com/B0FFI12BRY/comment/content_media_external_file_1000005762_ss__1754469715549_71602317.jpg;https://aos-comment.amap.com/B0FFI12BRY/comment/content_media_external_file_1000005736_ss__1754469715551_87866514.jpg,世界上海拔最高的野生动物园，汇集了雪豹、藏羚羊等珍稀高原动物。
17,南山公园,B0FFI7J66Z,4A,风景名胜;风景名胜相关;旅游景点,川藏公路,91.118424,29.63312,[],西藏自治区,拉萨市,城关区,[],,https://aos-comment.amap.com/B0FFI7J66Z/comment/content_media_external_file_118446_ss__1752393973085_37648509.jpg;https://aos-comment.amap.com/B0FFI7J66Z/comment/4BD3A94B_5988_4F98_A42C_431CE731C3FE_L0_001_1126_200_1753352581418_56474992.jpg;https://aos-comment.amap.com/B0FFI7J66Z/comment/3F840A0B_FCD1_4515_8C04_BC3214D6B4EC_L0_001_1500_200_1750897247736_46196425.jpg,拉萨市民休闲的好去处，登高可俯瞰拉萨全景和布达拉宫。
18,拉萨市中华文化公园,B0H10HVY44,4A,风景名胜;公园广场;公园,拉萨河两岸,91.057143,29.630776,[],西藏自治区,拉萨市,城关区,[],,https://aos-comment.amap.com/B0H10HVY44/comment/6ee473e2ff4dc679b4fbaa9d5e5e2907_2048_2048_80.jpg;https://comment-oss-online.oss-cn-wulanchabu.aliyuncs.com/B0H10HVY44/comment/content_media_external_images_media_2652409_1652276490909_a8f6fe7e.jpg;http://store.is.autonavi.com/showpic/1c986f61f3d5ab6e1f4139407ae25f2c,展示中华优秀传统文化和西藏地方特色文化的公园。
19,萨迦寺颇章萨巴,B0FFH8ZMRJ,4A,购物服务;专卖店;珠宝首饰工艺品,八廓街德林巷33号,91.131884,29.649437,[],西藏自治区,拉萨市,城关区,[],,https://aos-comment.amap.com/B0FFH8ZMRJ/comment/990fa07d7d2e7f1c8ab2a6efbe7b5d68_2048_2048_80.jpg;https://aos-comment.amap.com/B0FFH8ZMRJ/comment/3b26d3b01428f1fdb4c42ba4b3539081_2048_2048_80.jpg;https://aos-comment.amap.com/B0FFH8ZMRJ/comment/02b4a4b7749fee70495aa965f44509b8_2048_2048_80.jpg,萨迦寺的重要组成部分，历史悠久，文物丰富。
20,萨迦古城景区,B0FFKZF9TJ,4A,风景名胜;风景名胜;国家级景点,萨迦镇格桑西路,88.020502,28.903271,[],西藏自治区,日喀则市,萨迦县,[],,http://store.is.autonavi.com/showpic/54f66d774fd872e103d4c8e71e2b5a4f;http://store.is.autonavi.com/showpic/1e747ee0057be132bb16869f7449dc7f;http://store.is.autonavi.com/showpic/1d091a2e7faffe56c340bfd6a72f53ab,以萨迦寺为核心，保留了浓郁的藏族传统建筑风格和文化氛围。
21,珠峰小区,B0LB2ZPB6L,4A,商务住宅;住宅区;住宅小区,太阳岛一路与珠峰路交叉口西南100米,91.119409,29.644004,[],西藏自治区,拉萨市,城关区,[],,,位于拉萨的住宅区，周边配套设施完善。
22,国门巴夏景区游客服务中心,B0KD0SYBVN,4A,生活服务;生活服务场所;生活服务场所,亚乃路东北侧,88.9206,27.448232,[],西藏自治区,日喀则市,亚东县,[],,http://store.is.autonavi.com/showpic/7b9ad88543119ed5267af9f2ee2a83cf;https://aos-comment.amap.com/B0KD0SYBVN/comment/7366266E_CD30_48E0_B552_4D4AA38F9533_L0_001_2040_153_1754233366238_31182368.jpg;https://aos-comment.amap.com/B0KD0SYBVN/comment/5C03AC06_94D0_4BC2_AC50_1A0A8721CEFA_L0_001_1536_204_1754233366238_21098345.jpg,亚东县边境旅游的重要服务点，体验边境风情。
23,江孜宗山英雄纪念碑,B037C0025X,4A,风景名胜;风景名胜;纪念馆,白局路,89.60296,28.911871,[],西藏自治区,日喀则市,江孜县,[],,https://store.is.autonavi.com/showpic/11c32bdfab7368587e9e47dc8b2f760f;https://store.is.autonavi.com/showpic/bf8788da7b96ba5f77ebf8e7d7d0c4c2;http://store.is.autonavi.com/showpic/47b327b49d4040db84af2cdc9a868861,纪念1904年江孜军民抗击英国侵略者的英雄事迹。
24,朗东庄园,B0JD6R5D41,4A,体育休闲服务;休闲场所;休闲场所,,89.664354,28.726747,[],西藏自治区,日喀则市,康马县,[],,https://aos-comment.amap.com/B0JD6R5D41/comment/file_media_Photo_8709_IMG_1749986765_7434_IMG_20250615_192425_jpg_ss_2.jpg;https://store.is.autonavi.com/showpic/a16b2854d7342d3c996f5594b287e122;http://store.is.autonavi.com/showpic/e127472e403301fdd2ae80ef9b55fb2d,西藏封建农奴制时期的贵族庄园，保留了完整的庄园建筑和生活场景。
25,吉隆沟景区,B0FFHKX8DN,4A,风景名胜;风景名胜相关;旅游景点,吉隆县沟景区附近,85.279926,28.650826,[],西藏自治区,日喀则市,吉隆县,[],,https://aos-comment.amap.com/B0FFHKX8DN/comment/3fed352110006081cf8e47d8dd582cfb_2048_2048_80.jpg;http://store.is.autonavi.com/showpic/177da839a6cb0e1bbd966ec81750bfde;http://store.is.autonavi.com/showpic/3f2d376c940d9be1c2989cb9e5fa7f9b,被誉为“珠峰后花园”，自然风光秀丽，气候宜人。
26,崇巴雍错风景区,B0G0PLFDDV,4A,风景名胜;风景名胜相关;旅游景点,萨玛达乡,89.658424,28.200307,[],西藏自治区,日喀则市,康马县,[],,http://store.is.autonavi.com/showpic/71bee137411c4fd6f0390919bc4fe6dc;http://store.is.autonavi.com/showpic/e72e003ee1ed7a72843918d08bf28bc8;https://aos-comment.amap.com/B0G0PLFDDV/comment/6687b163dfa0ae0fb7759c3d8103ea96_2048_2048_80.jpg,美丽的淡水湖，湖畔草场丰美，是观鸟和摄影的好去处。
27,奇林峡景区,B0GDXHQQIK,4A,风景名胜;风景名胜;风景名胜,琼孜乡牧村,88.124522,28.117847,15708008222,西藏自治区,日喀则市,定结县,[],,http://store.is.autonavi.com/showpic/29059cd2ea30b9ada5f6cd22d5e0b2ea;http://store.is.autonavi.com/showpic/f2414cb7d483d241800f80ecb348877c;http://store.is.autonavi.com/showpic/b0963b8051c459122392d12f0403f7a3,独特的土林地貌，经过千百年风雨侵蚀形成，蔚为壮观。
28,班公湖景区,B0381003OW,4A,风景名胜;风景名胜相关;旅游景点,日土县班公湖度假村(近新藏公路219号国道),79.809666,33.556738,[],西藏自治区,阿里地区,日土县,[],,https://aos-comment.amap.com/B0381003OW/comment/content_media_external_images_media_110195_ss__1731154097368_25121378.jpg;https://aos-comment.amap.com/B0381003OW/comment/content_media_external_file_1000037452_ss__1757165851867_53798657.jpg;https://aos-comment.amap.com/B0381003OW/comment/14C9DBDF_53A4_4433_B34B_94784471F9BB_L0_001_2000_150_1754409344629_58310374.jpg,著名的界湖，湖水清澈，鸟类众多，自然生态良好。
29,札达县,B038100DSW,4A,地名地址信息;普通地名;区县级地名,札达县,79.807096,31.479882,[],西藏自治区,阿里地区,札达县,[],,https://aos-comment.amap.com/B038100DSW/comment/content_media_external_images_media_100001799_1726675845838_80449591.jpg;https://store.is.autonavi.com/showpic/533bd723e6adb5af1e619eb274ec682c;https://aos-comment.amap.com/B038100DSW/comment/content_media_external_images_media_100001799_1726675845836_91645883.jpg,以土林地貌和古格王朝遗址闻名，历史文化底蕴深厚。
30,昌珠寺,B037D003A1,4A,风景名胜;风景名胜;寺庙道观,雅区乃东区2公里,91.773235,29.190684,[],西藏自治区,山南市,乃东区,[],,http://store.is.autonavi.com/showpic/29306eb38efc88d4fe90cb543d9d2416;http://store.is.autonavi.com/showpic/2d72061b146e703bf4e1fafecc09dfc2;http://store.is.autonavi.com/showpic/8ce0b752b1226fd14329c3c8cc8880d7,西藏历史上第一座佛堂，传说由文成公主主持修建。
31,玉麦自然人文景区,B0L119M1AA,4A,风景名胜;风景名胜;风景名胜,玉麦乡重庆江湖宾馆西南侧100米,93.0736,28.629555,[],西藏自治区,山南市,隆子县,[],,,中国人口最少的行政乡，体验边境守边人的生活。
32,桑耶寺,B037D002GQ,4A,风景名胜;风景名胜;国家级景点,桑耶镇,91.50373,29.32359,0893-7836423;12301,西藏自治区,山南市,扎囊县,[],,http://aos-cdn-image.amap.com/sns/ugccomment/9f869437-0e7c-4a54-903d-975b49d1c038.jpg;http://store.is.autonavi.com/showpic/35471fc2cc792679e825700b000ca252;http://store.is.autonavi.com/showpic/209d5b5c7567ef6e66f794fb8bbac032,西藏第一座“佛、法、僧”三宝俱全的寺庙，建筑风格独特。
33,羊卓雍措,B0FFFQ6BLC,4A,地名地址信息;自然地名;湖泊,浪卡子县,90.681079,28.930442,[],西藏自治区,山南市,浪卡子县,[],,https://aos-comment.amap.com/B0FFFQ6BLC/comment/content_media_external_images_media_26502_ss__1729334160421_13578713.jpg;https://aos-comment.amap.com/B0FFFQ6BLC/comment/89A871D5_DE75_4F23_9D33_4D26C71DBF00_L0_001_2000_107_1757081104180_65452197.jpg;http://store.is.autonavi.com/showpic/bc7328167ff6d761912bcb671b7fc61c,西藏“三大圣湖”之一，湖水颜色随光线变化，美如冠玉。
34,雍布拉康,B037D0042O,4A,风景名胜;风景名胜;寺庙道观,昌珠镇扎西次日山上(泽当镇东南11公里处),91.803854,29.139428,[],西藏自治区,山南市,乃东区,[],,http://store.is.autonavi.com/showpic/d9637aa1d8f562c2cb049a1397551a19;http://store.is.autonavi.com/showpic/3f218f2f10d028e47a13f0a967fab6fd;https://aos-comment.amap.com/B037D0042O/comment/content_media_external_file_1000014616_ss__1767002811601_80465663.jpg,西藏历史上第一座宫殿，屹立于山顶，气势雄伟。
35,当惹雍错景区观景台,B0JK47TE7P,4A,风景名胜;风景名胜;风景名胜,,86.803004,31.183148,[],西藏自治区,那曲市,尼玛县,[],,https://store.is.autonavi.com/showpic/77f68014654e436119e4bd20ffd770f9;http://store.is.autonavi.com/showpic/cf893bf4b53f2a04dd3fd78e52b2c9e8;https://store.is.autonavi.com/showpic/2f11aefce711e759f7b06ed23c8a3896,苯教圣湖，湖水深邃，传说神秘。
36,中国西藏文化旅游创意园区,B0FFG6Q4X3,4A,商务住宅;产业园区;产业园区,鲁如村,91.141571,29.615196,[],西藏自治区,拉萨市,城关区,[],,,集文化创意、旅游休闲、演艺娱乐为一体的园区。
37,萨普神山游客中心,B0K3YZC0AD,4A,生活服务;信息咨询中心;服务中心,桑达寺附近,93.794692,31.080307,[],西藏自治区,那曲市,比如县,[],,http://store.is.autonavi.com/showpic/464e19a1b1347a47562b68d6ad237fb6;https://aos-comment.amap.com/B0K3YZC0AD/comment/content_media_external_file_86745_ss__1760230214879_33052693.jpg;https://aos-comment.amap.com/B0K3YZC0AD/comment/content_media_external_file_87093_ss__1760230214823_85223655.jpg,萨普神山脚下的服务中心，提供旅游咨询和休憩。
38,民俗文化旅游购物广场,B0G0KDSG2L,4A,购物服务;购物相关场所;购物相关场所,宇拓路民俗文化旅游购物广场39号,91.12676,29.649696,[],西藏自治区,拉萨市,城关区,[],,http://store.is.autonavi.com/showpic/4d0a2a30a13705d9a61ff45c1e293355;http://store.is.autonavi.com/showpic/8285e2ba85016d43453502570f940ba1;http://store.is.autonavi.com/showpic/bfadf9c00d15663560b9529a1de7e51a,购买藏族特色手工艺品和纪念品的场所。
39,康巴花都(建设中),B0IKDC8RFT,4A,风景名胜;风景名胜;风景名胜,527乡道,96.610423,31.301027,[],西藏自治区,昌都市,类乌齐县,[],,https://store.is.autonavi.com/showpic/14ac30eb5c33f74e9f10964c8d33702f;https://aos-comment.amap.com/B0IKDC8RFT/comment/16527c9a1a34c3056aadbdcd14ef3ea3_2048_2048_80.jpg;https://aos-comment.amap.com/B0IKDC8RFT/comment/1ac2b3706251e08b18ce9d67987eb0b9_2048_2048_80.jpg,类乌齐县打造的花卉主题旅游区。
40,三色湖,B0FFL8T63O,4A,风景名胜;风景名胜;风景名胜,边坝镇境内,94.776347,30.72434,[],西藏自治区,昌都市,边坝县,[],,https://aos-comment.amap.com/B0FFL8T63O/comment/content_media_external_images_media_105245_1660177222779_19aac798.jpg;https://aos-comment.amap.com/B0FFL8T63O/comment/e7313aff4c6938ef9ac537eb0a28efc7_2048_2048_80.jpg;http://store.is.autonavi.com/showpic/edcdb384928b9b441bdaf3b56fa0dc9b,由黑、白、黄三种颜色的湖泊组成，色彩奇特。
41,昌都市,B037F00LGM,4A,地名地址信息;普通地名;地市级地名,卡若区,97.170425,31.142879,[],西藏自治区,昌都市,卡若区,[],,http://store.is.autonavi.com/showpic/0ee294e7128a449b6932bca4346068fb;http://store.is.autonavi.com/showpic/b7be98076e2415fcf45af069c6f7cc38;http://store.is.autonavi.com/showpic/5fc0aa11723e397c5ee0ce876d5f21d4,西藏东部的中心城市，藏东明珠，康巴文化的核心区。
42,卡定沟景区,B0GDFXY52R,4A,风景名胜;风景名胜;国家级景点,八一镇,94.174626,29.762009,[],西藏自治区,林芝市,巴宜区,[],,http://store.is.autonavi.com/showpic/baaf8862f3b0bdfacfe876292808c820;http://store.is.autonavi.com/showpic/91a2f1b583a1f5d5a75f0a65ad47785b;http://store.is.autonavi.com/showpic/8b12c80703e159f7d5ceb8bf82ef5793,以落差近200米的天佛瀑布闻名，山势险要，景色秀丽。
43,世界柏树王园林风景区,B0FFFA3VZJ,4A,风景名胜;风景名胜;风景名胜,八一镇巴结村,94.403252,29.619664,[],西藏自治区,林芝市,巴宜区,[],,http://store.is.autonavi.com/showpic/70461c794f5845c9f42aa4b6bae4c2ed;http://store.is.autonavi.com/showpic/a83b61f43dc92f393d9fe8019bb7c2e5;http://store.is.autonavi.com/showpic/3c1003eb6d7eeb1630d6ea9460e32b38,拥有2500多年树龄的巨柏，被称为“世界柏树王”。
44,米堆冰川景区观景台,B0GDLAH1L3,4A,风景名胜;风景名胜;观景点,米堆冰川景区,96.500155,29.467889,[],西藏自治区,林芝市,波密县,[],,https://aos-comment.amap.com/B0GDLAH1L3/comment/16b3521fc7e68a5c41bc859e63a1d679_2048_2048_80.jpg;http://aos-cdn-image.amap.com/sns/ugccomment/a7f693a5-c97b-4235-8fc2-6340c6622f47.jpg;https://aos-comment.amap.com/B0GDLAH1L3/comment/65f6eb34bc8aa508805c6f6d28b2ee9b_2048_2048_80.jpg,中国最美六大冰川之一，冰川与森林、湖泊共存。
45,鲁朗景区,B037E0M6EL,4A,风景名胜;风景名胜;风景名胜,318国道附近,94.7335,29.699104,0894-5889222,西藏自治区,林芝市,巴宜区,[],,http://store.is.autonavi.com/showpic/530ed7f5c7e638bb69e9269724339824;http://store.is.autonavi.com/showpic/3d27a1724c3c70b1f04c509dba0000fa;http://store.is.autonavi.com/showpic/bbd74c9ade70b62af090334bec3f8698,被誉为“东方瑞士”，林海雪原，风光旖旎，鲁朗石锅鸡闻名遐迩。
46,嘎朗湖景区,B0LURD45QY,4A,风景名胜;风景名胜;风景名胜,古乡嘎朗村,95.60487,29.903856,[],西藏自治区,林芝市,波密县,[],,https://aos-comment.amap.com/comment/content_service_e84cf17b3e20e70a6a401eaa5f65b5c9_1767295014391_30385557.jpg;https://aos-comment.amap.com/B0LURD45QY/comment/content_media_external_images_media_1000013370_ss__1767295008745_51235608.jpg;https://aos-comment.amap.com/B0LURD45QY/comment/content_media_external_images_media_1000014793_ss__1767294955845_07346681.jpg,湖光山色，风景如画，桃花盛开时尤为美丽。
47,措木及日风景区(暂停开放),B037E003L8,4A,风景名胜;风景名胜;风景名胜,措木及日路,94.393018,29.70819,[],西藏自治区,林芝市,巴宜区,[],,http://store.is.autonavi.com/showpic/d8484f718308d54257e626ea51888583;http://store.is.autonavi.com/showpic/5f021d3238a7e098be48c9646efe2c00;https://aos-comment.amap.com/B037E003L8/comment/276457b06defc3dd94818363506c56cc_2048_2048_80.jpg,冰湖美景，原始森林，生态环境优美。
48,果果塘大拐弯,B0FFH6LDHD,4A,风景名胜;风景名胜;风景名胜,德兴乡,95.281796,29.319533,[],西藏自治区,林芝市,墨脱县,[],,http://store.is.autonavi.com/showpic/3d82af661f355c2ce62c02b920079fa8;https://aos-comment.amap.com/B0FFH6LDHD/comment/276AEF14_ECEE_47A0_9318_DEE69F756DE9_L0_001_2000_150_1760483253556_03692027.jpg;https://aos-comment.amap.com/B0FFH6LDHD/comment/content_media_external_file_388494_ss__1752761881219_06361125.jpg,雅鲁藏布江在此形成巨大的马蹄形大拐弯，气势磅礴。
49,娘热民俗风情园(暂停开放),B037B022BC,3A,风景名胜;风景名胜;国家级景点,娘热乡娘热路风情园门口,91.107474,29.707308,0891-6800513;18908919981,西藏自治区,拉萨市,城关区,www.lhasafolkmuseum.com,,https://aos-comment.amap.com/B037B022BC/comment/content_media_external_file_33433_ss__1761809560424_30983746.jpg;http://aos-cdn-image.amap.com/sns/ugccomment/b155410c-7d35-46c6-a6ac-ddefaf015141.jpg;http://aos-cdn-image.amap.com/sns/ugccomment/f855ccec-a029-489b-915a-7628e9534c9b.jpg,展示藏族民俗文化，体验藏式生活。
50,城关区净土智昭产业园区,B0FFKXL39H,3A,风景名胜;风景名胜;省级景点,规划一路,91.258512,29.644517,[],西藏自治区,拉萨市,城关区,[],,http://store.is.autonavi.com/showpic/d7c8ef13e5f47f8b9c6e249cd2491881;https://store.is.autonavi.com/showpic/17048a8ba396e50b3f52ce792ab1ee88;http://store.is.autonavi.com/showpic/084fc51dcb553fdf0db855d758480146,现代农业产业园区，展示高原特色农业。
51,藏游坛城,B0FFF5QPPN,3A,风景名胜;风景名胜;风景名胜,罗堆西路16号,91.070118,29.647427,[],西藏自治区,拉萨市,城关区,[],,https://aos-comment.amap.com/B0FFF5QPPN/comment/175346801911_1753468021172_03425276.jpg;https://aos-comment.amap.com/B0FFF5QPPN/comment/36e58f48f130c0609b4e396aa86bbdef_2048_2048_80.jpg;http://store.is.autonavi.com/showpic/a8cc57efc9c091d0a9a764a7c66e6331,集文化、旅游、商业于一体的综合体。
52,夏扎大院,B0FFHG2WLI,3A,风景名胜;风景名胜相关;旅游景点,八廓南街鲁固一巷13号,91.133681,29.648377,[],西藏自治区,拉萨市,城关区,[],,https://aos-comment.amap.com/B0FFHG2WLI/comment/content_media_external_file_1000019457_ss__1759986597655_31449622.jpg;http://aos-cdn-image.amap.com/sns/ugccomment/970c2748-0e62-41d2-9e8f-3c2ab8787a59.jpg,拉萨保存较好的古建筑大院，具有较高的历史价值。
53,达孜工业园,B0FFFRS1K4,3A,商务住宅;产业园区;产业园区,虎峰大道与南山嘴路交叉口西280米,91.332707,29.667385,[],西藏自治区,拉萨市,达孜区,[],,,达孜区的工业发展区域。
54,藏草宜生,B0FFGG7QBI,3A,公司企业;公司;公司,东嘎镇经济技术开发区格桑路A1-11,91.017129,29.635959,13123900416,西藏自治区,拉萨市,堆龙德庆区,[],,http://store.is.autonavi.com/showpic/76a7df6fa0025d23135f833b56f0fb32,专注于西藏特色植物资源的开发利用。
55,中国西藏文化旅游创意园区,B0FFG6Q4X3,3A,商务住宅;产业园区;产业园区,鲁如村,91.141571,29.615196,[],西藏自治区,拉萨市,城关区,[],,,集文化创意、旅游休闲、演艺娱乐为一体的园区。
56,西藏毛主席像章博物馆,B0KBGUAI8P,3A,科教文化服务;博物馆;博物馆,北京大道21号,91.082385,29.616746,[],西藏自治区,拉萨市,堆龙德庆区,[],,https://store.is.autonavi.com/showpic/b9e3fb6a193c36739b58ebb7ec1d20b8;https://store.is.autonavi.com/showpic/e7afea6736bddc2c6e883b9b22f843d3;https://aos-comment.amap.com/B0KBGUAI8P/comment/content_media_external_images_media_1000086447_ss__1728794921404_49691122.jpg,收藏了大量毛主席像章，具有红色教育意义。
